강의분류,강의명,조회수,조회수_숫자
예술,로그분석 - 설계 실습,조회수 : 555,555
건설업,당신의 매출을 2배 높여주는 이메일 마케팅 비법 공개,조회수 : 237,237
정보통신,[HD]기출문제 풀이로 배우는 ITQ Access (2023년),조회수 : 125,125
예술,[HD]취업 준비를 위한 OA (Excel) 실무 2023 (오피스365 활용) Part.1,조회수 : 531,531
과학 기술 서비스업,식당 창업자 및 관리자가 꼭 알아야 하는 노무 관리 포인트,조회수 : 178,178
마케팅,주거복지사 보수교육(2023년),조회수 : 87,87
예술,왜 시즌 드라마인가? - 이유 있는 시즌 드라마의 성공법칙,조회수 : 401,401
건설업,1인 콘텐츠 실제 제작하기 4 : 콘텐츠 업로드 및 관리,조회수 : 1072,1072
제조업,웹툰 회사에서는 어떤 일을 할까? - 웹툰 회사 소개,조회수 : 498,498
건설업,밀레니얼 마켓 Ⅰ,조회수 : 132,132
공급업,낀세대의 전쟁과 평화,조회수 : 1018,1018
건설업,인공지능이란? - 인공지능 기술에 대한 소개,조회수 : 3625,3625
건설업,로그분석 - 지표의 종류,조회수 : 618,618
제조업,위기극복 방정식 RE:티핑포인트,조회수 : 117,117
건설업,[HD]기출문제 풀이로 배우는 ITQ Word (2023년),조회수 : 108,108
제조업,[HD]취업 준비를 위한 OA (Excel) 실무 2023 (오피스365 활용) Part.2,조회수 : 223,223
제조업,온라인쇼핑몰 창업 및 관련 세금 독파하기,조회수 : 290,290
제조업,2024 박문각 주택관리사 - 문제풀이 - 주택관리 관계법규,조회수 : 4738,4738
건설업,주거복지사 보수교육(2024년),조회수 : 64,64
제조업,자료조사부터 가구성안까지 - 다큐멘터리 지식채널e 숏 콘텐츠 5분의 미학,조회수 : 422,422
제조업,다큐멘터리 영화 스토리텔링 - 다큐멘터리 영화 기획과 스토리텔링,조회수 : 673,673
마케팅,도시 농부되어 월 300 농지연금 받기 노하우,조회수 : 296,296
정보통신,웹툰 회사에서는 어떤 일을 할까? - 웹툰 회사 이런 일을 해요: 스튜디오 제작 시스템,조회수 : 301,301
운수 및 창고업,손경이의 ‘세대를 아우르는 관계의 힘’,조회수 : 413,413
제조업,혁신의 넥스트 레벨 DX-DNA,조회수 : 94,94
건설업,나를 일으키는 Higher Power,조회수 : 1049,1049
의료,AI시대 똑똑한 사람은 어떻게 생각하고 질문하는가,조회수 : 728,728
건설업,[HD]공공 데이터 (오픈 데이터) API 제대로 배우기 Part.2 JAVA JSP,조회수 : 58,58
정보통신,공연을 위한 뉴미디어 사용 2 - 가상현실과 인공지능 - 뉴미디어 테크놀로지를 활용한 공연 제작,조회수 : 543,543
정보통신,관상경영학,조회수 : 370,370
건설업,매력적인 서비스의 비결 UX Writing,조회수 : 73,73
건설업,[HD]MS 오피스 2021 제대로 배우기 - Excel 2021 (기초),조회수 : 227,227
운수 및 창고업,[HD]기출문제 풀이로 배우는 ITQ 인터넷 (2023년),조회수 : 99,99
건설업,왕 초보도 포토샵 없이 뚝딱! 돈 되는 미리캔버스 이미지 만들기,조회수 : 726,726
제조업,[HD]취업 준비를 위한 OA (PowerPoint) 실무 2023 (오피스365 활용) Part.1,조회수 : 164,164
운수 및 창고업,준비부터 배송까지 알려주는 왕초보들을 위한 의류 쇼핑몰 강의 (feat.스마트스토어),조회수 : 257,257
의료,우리 동네 1등 매장 만들기,조회수 : 201,201
건설업,[HD]정보처리기능사 필기 2과목 패키지 활용 (2023년개정),조회수 : 160,160
건설업,2025 [사회복지사:1교시] 인간행동과 사회환경 (이론과정)(이수천),조회수 : 4251,4251
제조업,[HD]No code(노코드)! AppSheet(앱시트)로 코딩없이 전문가 수준 앱 만들기 (입문) Part.3 컬럼 타입,조회수 : 65,65
마케팅,콘텐츠 산업에서 바라본 VR,조회수 : 528,528
운수 및 창고업,야 너두 프리미어로 유튜브 뽐나게 편집할 수 있어,조회수 : 217,217
정보통신,인권침해에 관한 규제 법안 심의 사례 - 제작자의 필수조건 제작윤리의 모든 것,조회수 : 3023,3023
제조업,4050 활력을 증진하는 기능회복운동 - 기능 회복 운동,조회수 : 213,213
의료,웹툰 회사에서는 어떤 일을 할까? - 웹툰 회사 이런 일을 해요: 직군 및 회사 특장점,조회수 : 462,462
마케팅,기후의 습격 새로운 富의 기회,조회수 : 766,766
건설업,인공지능기술 활용사례 - 게임 서비스와 테스트 분야,조회수 : 554,554
건설업,류재언 변호사의 협상전략,조회수 : 1394,1394
제조업,[HD]취업 준비를 위한 OA (PowerPoint) 실무 2023 (오피스365 활용) Part.2,조회수 : 61,61
마케팅,중년을 위한 1년 안에 인세받는 출간작가 되기! [지금당장 실전편&심화편],조회수 : 474,474
제조업,2024 박문각 [공인중개사:1차] 민법 및 민사특별법 (개념완성),조회수 : 8725,8725
건설업,버추얼 스튜디오의 제작기술 이해 - 가상을 현실로 Virtual Studio의 모먼트,조회수 : 483,483
예술,장르별 다른 내레이션 쓰는 법 - 다큐멘터리 글쓰기,조회수 : 1412,1412
제조업,웹툰 회사 이런 일을 해요: 노블코믹스 웹툰 OST - 웹툰 회사에서는 어떤 일을 할까?,조회수 : 299,299
건설업,메타트렌드 : 패러다임의 전환,조회수 : 81,81
정보통신,인공지능기술 활용사례 - 게임 기획/개발 분야,조회수 : 1999,1999
건설업,[HD]취업 준비를 위한 OA (Word) 실무 2023 (오피스365 활용),조회수 : 124,124
